x_axis,speed,
256,154.44334604950618,
362,204.80922441267796,
512,252.83929511994916,
724,332.9635150350129,
1024,395.0273932379513,
1448,458.6432641131619,
2048,518.1774313949429,
2896,626.0206598062065,
4096,641.8435924001249,
5793,737.9964396412913,
8192,673.4000548265225,
11585,835.6886008431046,
16384,821.2954405843182,
23170,862.0759874857138,
32768,853.8906948637273,
46341,937.4634881986719,
65536,937.1747528490167,
92682,958.2639578308138,
131072,653.8443690969636,
185364,657.7110483060886,
262144,661.4016071126042,
370728,678.7151872323145,
524288,635.8930652148042,
741455,638.1218380158482,
1048576,637.6633215969649,
1482910,643.6974560339338,
2097152,645.855869188755,
2965821,641.9984819435766,
4194304,632.0697276038514,
5931642,644.3087133202347,
8388608,629.6013790073497,
11863283,620.8526951228695,
16777216,627.3232778750153,
23726566,635.1290512093394,
33554432,337.9923576991003,
47453133,341.4991130546191,
67108864,342.12158423774235,
94906266,343.4598998967851,
134217728,342.282433434598,
189812531,341.55872765469576,
