x_axis,speed,
256,185.930233320302,
362,229.36283279998696,
512,264.29675628507346,
724,324.51537616240876,
1024,387.25536585012765,
1448,436.94158347271167,
2048,485.360749100063,
2896,538.9324714370175,
4096,606.4990111893418,
5793,670.578436269805,
8192,718.2509293408909,
11585,739.8347999726224,
16384,763.712869619359,
23170,799.9592378219684,
32768,807.3980290066188,
46341,837.5036271819408,
65536,832.4322010764138,
92682,857.3272826096784,
131072,584.9315817677236,
185364,621.2823552090886,
262144,614.5645504826787,
370728,626.1219237679559,
524288,531.118989694865,
741455,564.7370315421579,
1048576,515.7021993298574,
1482910,597.1457765730579,
2097152,331.38004079903703,
2965821,390.68345164212565,
4194304,424.39007253764396,
5931642,475.6078639930036,
8388608,486.66140813971964,
11863283,553.6593255217913,
16777216,590.3017789228454,
23726566,610.3669741104068,
33554432,621.4167001711423,
47453133,638.3476558724963,
67108864,634.0871402863858,
94906266,646.0152813742968,
134217728,641.874059692304,
189812531,621.6992568146834,
