x_axis,speed,
256,315.8958835420447,
653,317.90556154517293,
1050,330.73810396719745,
1447,331.14496203562993,
1844,319.7335848514455,
2241,329.00789585616957,
2638,317.1776766002151,
3035,330.81603256903026,
3432,316.83945013605324,
3829,315.9453966001047,
4226,332.57789033549267,
4623,318.47189509040544,
5020,318.38689565419094,
5417,331.8622096544013,
5814,319.7685703582262,
6211,317.9621042443946,
6608,331.2609420586857,
7005,331.9233100369182,
7402,319.61183428827985,
7799,331.15995488033866,
