x_axis,lantencys,speed
10240, 27.264, 0.44221172283457244
219444, 103.015, 8.772747229561821
428648, 123.901, 16.008715758735164
637852, 31.031, 22.445239258786355
847056, 125.057, 28.94783024006516
1056260, 125.868, 34.02421686017164
1265464, 145.989, 38.700893379692666
1474668, 146.81, 42.925770062509145
1683872, 153.747, 46.92522112255543
1893076, 148.712, 51.22394825644025
2102280, 149.48, 54.701728281816884
2311484, 171.498, 57.79818103195558
2520688, 170.579, 60.768350820780825
2729892, 171.159, 62.788100618723504
2939096, 191.94, 66.045506097739
3148300, 172.574, 47.88238645396511
3357504, 178.212, 49.612221492678074
3566708, 181.002, 52.44415923520133
3775912, 195.893, 54.37477764392971
3985116, 175.202, 56.57518190838601
