x_axis,lantencys,speed
10240, 20.856, 0.4432034946417441
219444, 41.131, 9.030330551394776
428648, 40.972, 17.263676993476807
637852, 100.341, 24.931969435508492
847056, 98.391, 33.47211012234363
1056260, 41.167, 41.86225558031049
1265464, 41.086, 50.13490595269402
1474668, 120.461, 57.39648776028122
1683872, 41.198, 64.0199857571493
1893076, 120.739, 71.45966771699096
2102280, 101.319, 44.40139055920277
2311484, 41.306, 47.009734644221865
2520688, 58.826, 50.012236288030785
2729892, 41.489, 52.89736579823875
2939096, 41.479, 53.937189258434636
3148300, 41.568, 57.63989342913151
3357504, 41.505, 59.82698210464667
3566708, 41.602, 63.251748104440566
3775912, 41.586, 65.83304520195897
3985116, 41.774, 68.90810535477475
